id,Sentence,Sentiment,SentimentNumerical
1989,the use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements,neutral,2
2508,bhp billiton drags ftse lower after slashing dividend,negative,0
1449,according to ceo hannu syrjnen a new common name and visual identity is required as the group has grown and internationalised,neutral,2
170,vaisala also said it expects net sales of eur 2532 million for 2010 compared with eur 2522 million recorded in 2009,positive,1
2219,the pulp production in finnish kemijrvi will also be liquidated and about 1100 employees loose their jobs,negative,0
821,for vnoto74 to follow after a sell signal by ndx internals 0623 technical sell qqq 0625 down,negative,0
1864,deutsche bank downgraded starbucks co sbux httpstcoqqlevvwpmv httpstcof2pdqjutha,negative,0
1525,kiosk and cinema operations have suffered in particular,negative,0
228,satama earned data management solutions competency with business intelligence specialization recentlyvia the acquisition of fimentor oy,positive,1
1234,vaisala s net profit for the third quarter of 2007 dropped to 30 mln euro 43 mln from 68 mln euro 98 mln for the same period of 2006,negative,0
1944,the company operates a us division in lisle ill,neutral,2
651,microsoft last week also issued the first patch for the windows 7 operating system beta it had released days earlier,neutral,2
1912,saudi aramco shell plan to break up motiva divide up assets,negative,0
2291,in q1 10 19 april 2010 finnish forest machinery and equipment maker ponsse oyj hel pon1v said today that it expects to swing to a net profit of some eur6 3 m in the first quarter of 2010 from an eur9 6 m loss a year earlier,positive,1
2450,the shares subscribed will be eligible for trade on the following day from the registration,neutral,2
112,during the strike finnair estimates to incur a net loss of between eur2m and eur2 5 m per day,negative,0
284,in the sinter plant limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for ironmaking,neutral,2
412,the company plans to spend the proceeds from the rights offering for strengthening its balance sheet,neutral,2
2306,finnish plumbing and heating systems supplier uponor s net sales from continuing operations decreased by 94 in 2008 to eur 9492 mn from eur 10474 mn in 2007,neutral,2
1902,internet business news 19952006 m2 communications ltd as part of a drive to protect users of its internet banking service barclays bank has announced that it is to recommend fsecure internet security to its customers,neutral,2
504,rt stockdemons think shorting here into close might be play spy high beta reversinglooks worth a shot,negative,0
1860,production levels have been agreed with producers a long time ago so a fall in consumption will lead to losses,neutral,2
1282,long endp 2623 on agn bo rumor,positive,1
657,adpnews dec 30 2009 finnish investment group neomarkka oyj hel nembv said today that it will furlough employee in its unit reka cables ltd for less than 90 days starting in january 2010,neutral,2
1865,gnrc finding support at its 10day line so far,positive,1
2297,should you follow berkshire hathaway into apple stock,neutral,2
2144,cohen steers inc 5 534 626 shares representing 4985 of the share capital and voting rights,neutral,2
2436,tesla voluntary recall of 2700 model x vehicles due to back seat issue tsla httpstconpakc3u6gs,negative,0
425,spy tomorrow party time for the bears goog and msft 55,negative,0
365,increased trust of our clients in yit can be seen as apartment sales accelerated,positive,1
48,fastenal misses by 001 misses on revenue fast nyse httpstco63jhq7pwmn,negative,0
1105,demand seems to have hit bottom now and some signs of improvement can be seen,positive,1
1826,comparable operating profit for the quarter decreased from eur510m while sales increased from eur860m as compared to the third quarter 2007,negative,0
2377,on dec 1 grimaldi acquired 15 million shares and a 501percent stake in finnlines,neutral,2
1336,mr ashley deputy executive chairman of sports direct sold a 43pc stake in the company for more than pounds 900m at the time of the float,neutral,2
